Epoch,Train Loss,Val Loss,Learning Rate
0,9.1636,N/A,1.96e-06
0,7.8867,N/A,3.96e-06
0,6.8732,N/A,5.96e-06
1,6.3277,5.9801,7.96e-06
1,5.8454,N/A,9.96e-06
1,5.4325,N/A,1.20e-05
1,5.1318,N/A,1.40e-05
2,4.7398,4.4972,1.60e-05
2,4.4073,N/A,1.80e-05
2,4.3246,N/A,2.00e-05
2,3.9902,N/A,1.99e-05
3,3.7973,3.4822,1.97e-05
3,3.4530,N/A,1.94e-05
3,3.3895,N/A,1.90e-05
3,3.2512,N/A,1.84e-05
4,2.9569,2.8002,1.78e-05
4,2.9168,N/A,1.70e-05
4,2.8171,N/A,1.62e-05
5,2.5533,N/A,1.52e-05
5,2.4252,2.3681,1.42e-05
5,2.3956,N/A,1.32e-05
5,2.3489,N/A,1.21e-05
6,2.2330,N/A,1.09e-05
6,2.1459,2.0946,9.80e-06
6,2.1346,N/A,8.66e-06
6,1.9539,N/A,7.54e-06
7,1.9927,N/A,6.46e-06
7,1.9662,1.9502,5.42e-06
7,1.9403,N/A,4.44e-06
7,1.8595,N/A,3.53e-06
8,1.8334,N/A,2.71e-06
8,1.8070,1.8883,1.98e-06
8,1.8955,N/A,1.35e-06
9,1.8046,N/A,8.37e-07
9,1.8599,N/A,4.41e-07
9,1.8413,1.8698,1.70e-07
9,1.7073,N/A,2.49e-08
